Date,Total_kWh,Raiser_Mains_kWh,Common_Area_Total_kWh,IIEMS_Lighting_kWh,IIEMS_HVAC_Vent_kWh,IIEMS_Water_STP_kWh,IIEMS_Lifts_kWh,IIEMS_Pool_Clubhouse_kWh
2025-06-01,15782.47,11047.73,4734.74,1657.16,1183.68,946.95,591.84,355.11
2025-06-02,15293.54,10705.48,4588.06,1605.82,1147.02,917.61,573.51,344.1
2025-06-03,15898.72,11129.1,4769.62,1669.37,1192.4,953.92,596.2,357.72
2025-06-04,16572.73,11600.91,4971.82,1740.14,1242.96,994.36,621.48,372.89
2025-06-05,15219.7,10653.79,4565.91,1598.07,1141.48,913.18,570.74,342.44
2025-06-06,15219.71,10653.8,4565.91,1598.07,1141.48,913.18,570.74,342.44
2025-06-07,16615.99,11631.2,4984.8,1744.68,1246.2,996.96,623.1,373.86
2025-06-08,15990.92,11193.65,4797.28,1679.05,1199.32,959.46,599.66,359.8
2025-06-09,15038.5,10526.95,4511.55,1579.04,1127.89,902.31,563.94,338.37
2025-06-10,15817.77,11072.44,4745.33,1660.87,1186.33,949.07,593.17,355.9
2025-06-11,15043.17,10530.22,4512.95,1579.53,1128.24,902.59,564.12,338.47
2025-06-12,15041.39,10528.97,4512.42,1579.35,1128.1,902.48,564.05,338.43
2025-06-13,15586.31,10910.42,4675.89,1636.56,1168.97,935.18,584.49,350.69
2025-06-14,13926.77,9748.74,4178.03,1462.31,1044.51,835.61,522.25,313.35
2025-06-15,14071.81,9850.27,4221.54,1477.54,1055.38,844.31,527.69,316.62
2025-06-16,14967.04,10476.93,4490.11,1571.54,1122.53,898.02,561.26,336.76
2025-06-17,14620.12,10234.08,4386.04,1535.11,1096.51,877.21,548.26,328.95
2025-06-18,15641.97,10949.38,4692.59,1642.41,1173.15,938.52,586.57,351.94
2025-06-19,14700.82,10290.58,4410.25,1543.59,1102.56,882.05,551.28,330.77
2025-06-20,14312.53,10018.77,4293.76,1502.82,1073.44,858.75,536.72,322.03
2025-06-21,16528.55,11569.98,4958.56,1735.5,1239.64,991.71,619.82,371.89
2025-06-22,15226.15,10658.31,4567.85,1598.75,1141.96,913.57,570.98,342.59
2025-06-23,15452.0,10816.4,4635.6,1622.46,1158.9,927.12,579.45,347.67
2025-06-24,14302.94,10012.06,4290.88,1501.81,1072.72,858.18,536.36,321.82
2025-06-25,14980.83,10486.58,4494.25,1572.99,1123.56,898.85,561.78,337.07
2025-06-26,15485.41,10839.79,4645.62,1625.97,1161.4,929.12,580.7,348.42
2025-06-27,14513.73,10159.61,4354.12,1523.94,1088.53,870.82,544.26,326.56
2025-06-28,15689.29,10982.5,4706.79,1647.38,1176.7,941.36,588.35,353.01
2025-06-29,14937.51,10456.26,4481.25,1568.44,1120.31,896.25,560.16,336.09
2025-06-30,15175.4,10622.78,4552.62,1593.42,1138.16,910.52,569.08,341.45
2025-07-01,14936.69,10455.68,4481.01,1568.35,1120.25,896.2,560.13,336.08
2025-07-02,16826.25,11778.38,5047.88,1766.76,1261.97,1009.58,630.98,378.59
2025-07-03,15389.61,10772.72,4616.88,1615.91,1154.22,923.38,577.11,346.27
2025-07-04,14585.56,10209.89,4375.67,1531.48,1093.92,875.13,546.96,328.18
2025-07-05,16033.36,11223.35,4810.01,1683.5,1202.5,962.0,601.25,360.75
2025-07-06,14459.95,10121.97,4337.99,1518.3,1084.5,867.6,542.25,325.35
2025-07-07,15560.82,10892.58,4668.25,1633.89,1167.06,933.65,583.53,350.12
2025-07-08,13891.05,9723.74,4167.32,1458.56,1041.83,833.46,520.92,312.55
2025-07-09,14377.3,10064.11,4313.19,1509.62,1078.3,862.64,539.15,323.49
2025-07-10,15551.58,10886.11,4665.47,1632.91,1166.37,933.09,583.18,349.91
2025-07-11,15968.62,11178.03,4790.59,1676.71,1197.65,958.12,598.82,359.29
2025-07-12,15531.95,10872.37,4659.59,1630.86,1164.9,931.92,582.45,349.47
2025-07-13,15310.95,10717.67,4593.29,1607.65,1148.32,918.66,574.16,344.5
2025-07-14,15168.15,10617.71,4550.45,1592.66,1137.61,910.09,568.81,341.28
2025-07-15,14261.54,9983.08,4278.46,1497.46,1069.62,855.69,534.81,320.88
2025-07-16,14845.72,10392.0,4453.72,1558.8,1113.43,890.74,556.72,334.03
2025-07-17,15045.31,10531.72,4513.59,1579.76,1128.4,902.72,564.2,338.52
2025-07-18,16213.98,11349.79,4864.2,1702.47,1216.05,972.84,608.02,364.82
2025-07-19,15664.59,10965.21,4699.38,1644.78,1174.84,939.88,587.42,352.45
2025-07-20,14042.46,9829.72,4212.74,1474.46,1053.18,842.55,526.59,315.96
2025-07-21,15649.54,10954.68,4694.86,1643.2,1173.71,938.97,586.86,352.11
2025-07-22,15103.49,10572.44,4531.05,1585.87,1132.76,906.21,566.38,339.83
2025-07-23,14878.77,10415.14,4463.63,1562.27,1115.91,892.73,557.95,334.77
2025-07-24,15870.99,11109.69,4761.3,1666.46,1190.32,952.26,595.16,357.1
2025-07-25,16193.87,11335.71,4858.16,1700.36,1214.54,971.63,607.27,364.36
2025-07-26,16117.09,11281.96,4835.13,1692.3,1208.78,967.03,604.39,362.63
2025-07-27,14753.8,10327.66,4426.14,1549.15,1106.54,885.23,553.27,331.96
2025-07-28,15161.91,10613.33,4548.57,1592.0,1137.14,909.71,568.57,341.14
2025-07-29,15655.07,10958.55,4696.52,1643.78,1174.13,939.3,587.07,352.24
2025-07-30,16151.17,11305.82,4845.35,1695.87,1211.34,969.07,605.67,363.4
2025-07-31,15031.04,10521.73,4509.31,1578.26,1127.33,901.86,563.66,338.2
2025-08-01,15257.04,10679.93,4577.11,1601.99,1144.28,915.42,572.14,343.28
2025-08-02,14548.12,10183.69,4364.44,1527.55,1091.11,872.89,545.55,327.33
2025-08-03,14478.92,10135.24,4343.68,1520.29,1085.92,868.74,542.96,325.78
2025-08-04,16025.64,11217.95,4807.69,1682.69,1201.92,961.54,600.96,360.58
2025-08-05,16444.3,11511.01,4933.29,1726.65,1233.32,986.66,616.66,370.0
2025-08-06,15344.55,10741.19,4603.37,1611.18,1150.84,920.67,575.42,345.25
2025-08-07,16172.72,11320.9,4851.82,1698.14,1212.96,970.36,606.48,363.89
2025-08-08,15678.46,10974.92,4703.54,1646.24,1175.88,940.71,587.94,352.77
2025-08-09,14903.26,10432.28,4470.98,1564.84,1117.74,894.2,558.87,335.32
2025-08-10,15678.27,10974.79,4703.48,1646.22,1175.87,940.7,587.93,352.76
2025-08-11,16584.29,11609.0,4975.29,1741.35,1243.82,995.06,621.91,373.15
2025-08-12,15372.41,10760.69,4611.72,1614.1,1152.93,922.34,576.46,345.88
2025-08-13,16604.78,11623.34,4981.43,1743.5,1245.36,996.29,622.68,373.61
2025-08-14,13382.8,9367.96,4014.84,1405.19,1003.71,802.97,501.86,301.11
2025-08-15,16032.86,11223.01,4809.86,1683.45,1202.46,961.97,601.23,360.74
2025-08-16,15467.03,10826.92,4640.11,1624.04,1160.03,928.02,580.01,348.01
2025-08-17,15169.76,10618.84,4550.93,1592.83,1137.73,910.19,568.87,341.32
2025-08-18,15470.66,10829.46,4641.2,1624.42,1160.3,928.24,580.15,348.09
2025-08-19,13869.57,9708.7,4160.87,1456.3,1040.22,832.17,520.11,312.07
2025-08-20,15230.85,10661.6,4569.26,1599.24,1142.32,913.85,571.16,342.69
2025-08-21,15674.98,10972.48,4702.49,1645.87,1175.62,940.5,587.81,352.69
2025-08-22,16537.98,11576.58,4961.39,1736.49,1240.35,992.28,620.17,372.1
2025-08-23,15000.93,10500.65,4500.28,1575.1,1125.07,900.06,562.54,337.52
2025-08-24,14777.46,10344.22,4433.24,1551.63,1108.31,886.65,554.16,332.49
2025-08-25,15013.65,10509.55,4504.09,1576.43,1126.02,900.82,563.01,337.81
2025-08-26,16104.86,11273.4,4831.46,1691.01,1207.86,966.29,603.93,362.36
2025-08-27,15653.14,10957.2,4695.94,1643.58,1173.98,939.19,586.99,352.2
2025-08-28,14992.08,10494.46,4497.63,1574.17,1124.41,899.53,562.2,337.32
2025-08-29,15795.22,11056.65,4738.56,1658.5,1184.64,947.71,592.32,355.39
2025-08-30,15474.75,10832.32,4642.42,1624.85,1160.6,928.48,580.3,348.18
2025-08-31,16145.86,11302.1,4843.76,1695.32,1210.94,968.75,605.47,363.28
2025-09-01,14859.42,10401.59,4457.83,1560.24,1114.46,891.57,557.23,334.34
2025-09-02,15147.7,10603.39,4544.31,1590.51,1136.08,908.86,568.04,340.82
2025-09-03,15098.08,10568.65,4529.42,1585.3,1132.36,905.88,566.18,339.71
2025-09-04,14273.09,9991.17,4281.93,1498.68,1070.48,856.39,535.24,321.14
2025-09-05,15628.01,10939.61,4688.4,1640.94,1172.1,937.68,586.05,351.63
2025-09-06,15601.01,10920.71,4680.3,1638.1,1170.08,936.06,585.04,351.02
2025-09-07,15403.94,10782.76,4621.18,1617.41,1155.3,924.24,577.65,346.59
2025-09-08,15219.37,10653.56,4565.81,1598.03,1141.45,913.16,570.73,342.44
2025-09-09,14310.16,10017.12,4293.05,1502.57,1073.26,858.61,536.63,321.98
2025-09-10,15076.1,10553.27,4522.83,1582.99,1130.71,904.57,565.35,339.21
2025-09-11,15136.11,10595.28,4540.83,1589.29,1135.21,908.17,567.6,340.56
2025-09-12,14782.25,10347.57,4434.67,1552.13,1108.67,886.93,554.33,332.6
2025-09-13,15275.81,10693.07,4582.74,1603.96,1145.68,916.55,572.84,343.71
2025-09-14,15711.12,10997.78,4713.34,1649.67,1178.34,942.67,589.17,353.5
2025-09-15,16852.36,11796.65,5055.71,1769.5,1263.93,1011.14,631.96,379.18
2025-09-16,15534.42,10874.1,4660.33,1631.12,1165.08,932.07,582.54,349.52
2025-09-17,15598.31,10918.82,4679.49,1637.82,1169.87,935.9,584.94,350.96
2025-09-18,15342.68,10739.87,4602.8,1610.98,1150.7,920.56,575.35,345.21
2025-09-19,13922.55,9745.78,4176.76,1461.87,1044.19,835.35,522.1,313.26
2025-09-20,15379.58,10765.71,4613.88,1614.86,1153.47,922.78,576.74,346.04
2025-09-21,15446.38,10812.46,4633.91,1621.87,1158.48,926.78,579.24,347.54
2025-09-22,17296.7,12107.69,5189.01,1816.15,1297.25,1037.8,648.63,389.18
2025-09-23,15251.88,10676.32,4575.56,1601.45,1143.89,915.11,571.95,343.17
2025-09-24,15632.19,10942.53,4689.66,1641.38,1172.42,937.93,586.21,351.72
