Timestamp,Active_Demand_kVA,Contracted_Limit
2025-06-01 00:00:00,471.61,4000
2025-06-01 00:30:00,418.76,4000
2025-06-01 01:00:00,438.34,4000
2025-06-01 01:30:00,439.85,4000
2025-06-01 02:00:00,472.21,4000
2025-06-01 02:30:00,474.48,4000
2025-06-01 03:00:00,462.39,4000
2025-06-01 03:30:00,466.44,4000
2025-06-01 04:00:00,486.07,4000
2025-06-01 04:30:00,501.1,4000
2025-06-01 05:00:00,462.48,4000
2025-06-01 05:30:00,510.9,4000
2025-06-01 06:00:00,558.38,4000
2025-06-01 06:30:00,633.77,4000
2025-06-01 07:00:00,669.19,4000
2025-06-01 07:30:00,784.4,4000
2025-06-01 08:00:00,885.48,4000
2025-06-01 08:30:00,935.97,4000
2025-06-01 09:00:00,992.54,4000
2025-06-01 09:30:00,1056.84,4000
2025-06-01 10:00:00,1023.65,4000
2025-06-01 10:30:00,995.26,4000
2025-06-01 11:00:00,839.28,4000
2025-06-01 11:30:00,777.64,4000
2025-06-01 12:00:00,695.0,4000
2025-06-01 12:30:00,657.44,4000
2025-06-01 13:00:00,556.07,4000
2025-06-01 13:30:00,566.66,4000
2025-06-01 14:00:00,568.01,4000
2025-06-01 14:30:00,633.1,4000
2025-06-01 15:00:00,599.88,4000
2025-06-01 15:30:00,678.13,4000
2025-06-01 16:00:00,756.01,4000
2025-06-01 16:30:00,830.52,4000
2025-06-01 17:00:00,1127.55,4000
2025-06-01 17:30:00,1102.98,4000
2025-06-01 18:00:00,1262.0,4000
2025-06-01 18:30:00,1538.12,4000
2025-06-01 19:00:00,1410.31,4000
2025-06-01 19:30:00,1673.47,4000
2025-06-01 20:00:00,1520.07,4000
2025-06-01 20:30:00,1713.01,4000
2025-06-01 21:00:00,1378.09,4000
2025-06-01 21:30:00,1316.64,4000
2025-06-01 22:00:00,1279.84,4000
2025-06-01 22:30:00,1233.08,4000
2025-06-01 23:00:00,1034.39,4000
2025-06-01 23:30:00,890.6,4000
2025-06-02 00:00:00,375.42,4000
2025-06-02 00:30:00,389.66,4000
2025-06-02 01:00:00,363.61,4000
2025-06-02 01:30:00,340.94,4000
2025-06-02 02:00:00,344.9,4000
2025-06-02 02:30:00,330.64,4000
2025-06-02 03:00:00,358.28,4000
2025-06-02 03:30:00,334.34,4000
2025-06-02 04:00:00,390.92,4000
2025-06-02 04:30:00,453.81,4000
2025-06-02 05:00:00,484.82,4000
2025-06-02 05:30:00,540.32,4000
2025-06-02 06:00:00,685.44,4000
2025-06-02 06:30:00,865.15,4000
2025-06-02 07:00:00,1000.56,4000
2025-06-02 07:30:00,969.69,4000
2025-06-02 08:00:00,1082.17,4000
2025-06-02 08:30:00,1012.88,4000
2025-06-02 09:00:00,965.2,4000
2025-06-02 09:30:00,815.83,4000
2025-06-02 10:00:00,589.06,4000
2025-06-02 10:30:00,544.51,4000
2025-06-02 11:00:00,474.49,4000
2025-06-02 11:30:00,386.23,4000
2025-06-02 12:00:00,398.68,4000
2025-06-02 12:30:00,348.3,4000
2025-06-02 13:00:00,364.59,4000
2025-06-02 13:30:00,419.7,4000
2025-06-02 14:00:00,399.61,4000
2025-06-02 14:30:00,469.24,4000
2025-06-02 15:00:00,465.7,4000
2025-06-02 15:30:00,644.54,4000
2025-06-02 16:00:00,667.42,4000
2025-06-02 16:30:00,795.56,4000
2025-06-02 17:00:00,930.71,4000
2025-06-02 17:30:00,1095.18,4000
2025-06-02 18:00:00,1111.75,4000
2025-06-02 18:30:00,1330.73,4000
2025-06-02 19:00:00,1386.84,4000
2025-06-02 19:30:00,1374.2,4000
2025-06-02 20:00:00,1599.45,4000
2025-06-02 20:30:00,1474.58,4000
2025-06-02 21:00:00,1451.47,4000
2025-06-02 21:30:00,1343.05,4000
2025-06-02 22:00:00,1182.99,4000
2025-06-02 22:30:00,1167.85,4000
2025-06-02 23:00:00,920.27,4000
2025-06-02 23:30:00,730.11,4000
2025-06-03 00:00:00,314.79,4000
2025-06-03 00:30:00,329.26,4000
2025-06-03 01:00:00,329.81,4000
2025-06-03 01:30:00,303.88,4000
2025-06-03 02:00:00,336.65,4000
2025-06-03 02:30:00,294.29,4000
2025-06-03 03:00:00,344.17,4000
2025-06-03 03:30:00,310.49,4000
2025-06-03 04:00:00,343.48,4000
2025-06-03 04:30:00,396.71,4000
2025-06-03 05:00:00,429.97,4000
2025-06-03 05:30:00,525.92,4000
2025-06-03 06:00:00,628.76,4000
2025-06-03 06:30:00,777.87,4000
2025-06-03 07:00:00,892.21,4000
2025-06-03 07:30:00,911.18,4000
2025-06-03 08:00:00,994.17,4000
2025-06-03 08:30:00,861.19,4000
2025-06-03 09:00:00,844.82,4000
2025-06-03 09:30:00,760.94,4000
2025-06-03 10:00:00,614.33,4000
2025-06-03 10:30:00,517.37,4000
2025-06-03 11:00:00,424.48,4000
2025-06-03 11:30:00,401.42,4000
2025-06-03 12:00:00,352.39,4000
2025-06-03 12:30:00,336.3,4000
2025-06-03 13:00:00,362.17,4000
2025-06-03 13:30:00,333.96,4000
2025-06-03 14:00:00,391.37,4000
2025-06-03 14:30:00,394.86,4000
2025-06-03 15:00:00,495.95,4000
2025-06-03 15:30:00,526.17,4000
2025-06-03 16:00:00,623.11,4000
2025-06-03 16:30:00,738.0,4000
2025-06-03 17:00:00,761.13,4000
2025-06-03 17:30:00,939.08,4000
2025-06-03 18:00:00,1156.07,4000
2025-06-03 18:30:00,1268.32,4000
2025-06-03 19:00:00,1328.17,4000
2025-06-03 19:30:00,1278.27,4000
2025-06-03 20:00:00,1432.71,4000
2025-06-03 20:30:00,1419.65,4000
2025-06-03 21:00:00,1312.72,4000
2025-06-03 21:30:00,1289.92,4000
2025-06-03 22:00:00,1061.19,4000
2025-06-03 22:30:00,945.91,4000
2025-06-03 23:00:00,737.75,4000
2025-06-03 23:30:00,756.34,4000
2025-06-04 00:00:00,308.82,4000
2025-06-04 00:30:00,278.49,4000
2025-06-04 01:00:00,277.34,4000
2025-06-04 01:30:00,290.91,4000
2025-06-04 02:00:00,316.59,4000
2025-06-04 02:30:00,300.89,4000
2025-06-04 03:00:00,295.75,4000
2025-06-04 03:30:00,298.82,4000
2025-06-04 04:00:00,311.56,4000
2025-06-04 04:30:00,322.05,4000
2025-06-04 05:00:00,380.14,4000
2025-06-04 05:30:00,452.67,4000
2025-06-04 06:00:00,596.99,4000
2025-06-04 06:30:00,686.06,4000
2025-06-04 07:00:00,768.82,4000
2025-06-04 07:30:00,984.41,4000
2025-06-04 08:00:00,881.88,4000
2025-06-04 08:30:00,934.01,4000
2025-06-04 09:00:00,866.99,4000
2025-06-04 09:30:00,637.62,4000
2025-06-04 10:00:00,579.76,4000
2025-06-04 10:30:00,466.62,4000
2025-06-04 11:00:00,393.96,4000
2025-06-04 11:30:00,369.64,4000
2025-06-04 12:00:00,324.46,4000
2025-06-04 12:30:00,317.82,4000
2025-06-04 13:00:00,325.5,4000
2025-06-04 13:30:00,333.64,4000
2025-06-04 14:00:00,340.19,4000
2025-06-04 14:30:00,409.99,4000
2025-06-04 15:00:00,464.38,4000
2025-06-04 15:30:00,513.3,4000
2025-06-04 16:00:00,574.81,4000
2025-06-04 16:30:00,660.29,4000
2025-06-04 17:00:00,769.32,4000
2025-06-04 17:30:00,1027.06,4000
2025-06-04 18:00:00,1088.77,4000
2025-06-04 18:30:00,1102.26,4000
2025-06-04 19:00:00,1249.83,4000
2025-06-04 19:30:00,1273.96,4000
2025-06-04 20:00:00,1356.0,4000
2025-06-04 20:30:00,1332.74,4000
2025-06-04 21:00:00,1306.79,4000
2025-06-04 21:30:00,1101.66,4000
2025-06-04 22:00:00,1045.44,4000
2025-06-04 22:30:00,838.44,4000
2025-06-04 23:00:00,747.24,4000
2025-06-04 23:30:00,714.68,4000
2025-06-05 00:00:00,266.73,4000
2025-06-05 00:30:00,268.27,4000
2025-06-05 01:00:00,279.96,4000
2025-06-05 01:30:00,289.89,4000
2025-06-05 02:00:00,265.58,4000
2025-06-05 02:30:00,232.39,4000
2025-06-05 03:00:00,271.47,4000
2025-06-05 03:30:00,307.27,4000
2025-06-05 04:00:00,308.07,4000
2025-06-05 04:30:00,350.11,4000
2025-06-05 05:00:00,351.54,4000
2025-06-05 05:30:00,404.4,4000
2025-06-05 06:00:00,544.0,4000
2025-06-05 06:30:00,644.81,4000
2025-06-05 07:00:00,749.88,4000
2025-06-05 07:30:00,850.73,4000
2025-06-05 08:00:00,857.85,4000
2025-06-05 08:30:00,829.32,4000
2025-06-05 09:00:00,765.06,4000
2025-06-05 09:30:00,653.31,4000
2025-06-05 10:00:00,554.82,4000
2025-06-05 10:30:00,463.44,4000
2025-06-05 11:00:00,402.7,4000
2025-06-05 11:30:00,320.5,4000
2025-06-05 12:00:00,315.86,4000
2025-06-05 12:30:00,294.61,4000
2025-06-05 13:00:00,289.74,4000
2025-06-05 13:30:00,302.35,4000
2025-06-05 14:00:00,341.1,4000
2025-06-05 14:30:00,370.76,4000
2025-06-05 15:00:00,414.54,4000
2025-06-05 15:30:00,459.54,4000
2025-06-05 16:00:00,539.67,4000
2025-06-05 16:30:00,656.16,4000
2025-06-05 17:00:00,679.72,4000
2025-06-05 17:30:00,847.26,4000
2025-06-05 18:00:00,962.19,4000
2025-06-05 18:30:00,1099.66,4000
2025-06-05 19:00:00,1064.66,4000
2025-06-05 19:30:00,1284.36,4000
2025-06-05 20:00:00,1226.47,4000
2025-06-05 20:30:00,1210.96,4000
2025-06-05 21:00:00,1118.83,4000
2025-06-05 21:30:00,1088.25,4000
2025-06-05 22:00:00,960.18,4000
2025-06-05 22:30:00,897.37,4000
2025-06-05 23:00:00,681.48,4000
2025-06-05 23:30:00,635.92,4000
2025-06-06 00:00:00,340.29,4000
2025-06-06 00:30:00,330.38,4000
2025-06-06 01:00:00,326.76,4000
2025-06-06 01:30:00,327.56,4000
2025-06-06 02:00:00,336.89,4000
2025-06-06 02:30:00,304.73,4000
2025-06-06 03:00:00,354.28,4000
2025-06-06 03:30:00,336.81,4000
2025-06-06 04:00:00,362.97,4000
2025-06-06 04:30:00,398.2,4000
2025-06-06 05:00:00,432.05,4000
2025-06-06 05:30:00,521.12,4000
2025-06-06 06:00:00,568.72,4000
2025-06-06 06:30:00,786.51,4000
2025-06-06 07:00:00,927.02,4000
2025-06-06 07:30:00,885.58,4000
2025-06-06 08:00:00,980.1,4000
2025-06-06 08:30:00,908.4,4000
2025-06-06 09:00:00,871.78,4000
2025-06-06 09:30:00,783.52,4000
2025-06-06 10:00:00,664.8,4000
2025-06-06 10:30:00,554.84,4000
2025-06-06 11:00:00,474.61,4000
2025-06-06 11:30:00,390.07,4000
2025-06-06 12:00:00,346.24,4000
2025-06-06 12:30:00,355.39,4000
2025-06-06 13:00:00,371.42,4000
2025-06-06 13:30:00,350.01,4000
2025-06-06 14:00:00,429.27,4000
2025-06-06 14:30:00,451.88,4000
2025-06-06 15:00:00,478.95,4000
2025-06-06 15:30:00,533.79,4000
2025-06-06 16:00:00,621.04,4000
2025-06-06 16:30:00,753.45,4000
2025-06-06 17:00:00,864.51,4000
2025-06-06 17:30:00,1055.57,4000
2025-06-06 18:00:00,1121.09,4000
2025-06-06 18:30:00,1293.84,4000
2025-06-06 19:00:00,1357.63,4000
2025-06-06 19:30:00,1442.23,4000
2025-06-06 20:00:00,1428.43,4000
2025-06-06 20:30:00,1473.4,4000
2025-06-06 21:00:00,1408.71,4000
2025-06-06 21:30:00,1290.96,4000
2025-06-06 22:00:00,1175.3,4000
2025-06-06 22:30:00,960.1,4000
2025-06-06 23:00:00,888.67,4000
