Month,Actual_kWh,Recorded_MD_kVA,PF,Net_Billed_kWh,kVAh,Energy_Charges_INR,Demand_Charges_INR,MD_Penalty_INR,Total_Payable_INR,Blended_Rate
2025-06-01,457653.79,1763.89,0.99,457653.79,462276.56,3743608.0,502708.65,0,4246316.65,9.28
2025-07-01,474232.18,1820.17,0.993,474232.18,477575.21,3879219.23,518748.45,0,4397967.68,9.27
2025-08-01,478887.2,1801.13,1.0,478887.2,478887.2,3917297.3,513322.05,0,4430619.35,9.25
2025-09-01,460620.43,1808.79,0.999,460620.43,461081.51,3767875.12,515505.15,0,4283380.2700000005,9.3
2025-10-01,475233.62,1730.43,0.995,475233.62,477621.73,3887411.01,493172.55,0,4380583.56,9.22
2025-11-01,467501.12,1802.21,0.996,467501.12,469378.63,3824159.16,513629.85,0,4337789.01,9.28
2025-12-01,482468.13,1844.82,0.993,482468.13,485869.21,3946589.3,525773.7,0,4472363.0,9.27
2026-01-01,475392.17,1930.6,0.992,475392.17,479225.98,3888707.95,550221.0,0,4438928.95,9.34
2026-02-01,429353.88,1886.33,0.995,429353.88,431511.44,3512114.74,537604.05,0,4049718.79,9.43
2026-03-01,862112.65,3389.44,0.944,862112.65,913254.93,7052081.48,965990.4,0,8018071.880000001,9.3
2026-04-01,841270.3,2942.6,0.946,841270.3,889292.07,6881591.05,838641.0,0,7720232.05,9.18
2026-05-01,857032.26,3193.47,0.941,857032.26,910767.55,7010523.89,910138.95,0,7920662.84,9.24
