Date,Total_kWh,Raiser_Mains_kWh,Common_Area_Total_kWh,IIEMS_Lighting_kWh,IIEMS_HVAC_Vent_kWh,IIEMS_Water_STP_kWh,IIEMS_Lifts_kWh,IIEMS_Pool_Clubhouse_kWh
2025-06-01,7596.13,5317.29,2278.84,797.59,569.71,455.77,284.86,170.91
2025-06-02,7434.54,5204.18,2230.36,780.63,557.59,446.07,278.8,167.28
2025-06-03,7431.27,5201.89,2229.38,780.28,557.34,445.88,278.67,167.2
2025-06-04,7658.04,5360.63,2297.41,804.09,574.35,459.48,287.18,172.31
2025-06-05,7970.68,5579.47,2391.2,836.92,597.8,478.24,298.9,179.34
2025-06-06,7761.65,5433.16,2328.5,814.97,582.12,465.7,291.06,174.64
2025-06-07,7407.97,5185.58,2222.39,777.84,555.6,444.48,277.8,166.68
2025-06-08,7697.58,5388.3,2309.27,808.24,577.32,461.85,288.66,173.2
2025-06-09,7173.7,5021.59,2152.11,753.24,538.03,430.42,269.01,161.41
2025-06-10,8155.56,5708.89,2446.67,856.33,611.67,489.33,305.83,183.5
2025-06-11,7505.2,5253.64,2251.56,788.05,562.89,450.31,281.44,168.87
2025-06-12,7525.8,5268.06,2257.74,790.21,564.43,451.55,282.22,169.33
2025-06-13,6950.73,4865.51,2085.22,729.83,521.3,417.04,260.65,156.39
2025-06-14,7504.92,5253.45,2251.48,788.02,562.87,450.3,281.44,168.86
2025-06-15,8347.69,5843.39,2504.31,876.51,626.08,500.86,313.04,187.82
2025-06-16,7935.44,5554.8,2380.63,833.22,595.16,476.13,297.58,178.55
2025-06-17,8126.96,5688.87,2438.09,853.33,609.52,487.62,304.76,182.86
2025-06-18,7744.9,5421.43,2323.47,813.21,580.87,464.69,290.43,174.26
2025-06-19,6691.24,4683.87,2007.37,702.58,501.84,401.47,250.92,150.55
2025-06-20,7726.8,5408.76,2318.04,811.31,579.51,463.61,289.76,173.85
2025-06-21,7777.47,5444.23,2333.24,816.63,583.31,466.65,291.65,174.99
2025-06-22,8044.82,5631.37,2413.45,844.71,603.36,482.69,301.68,181.01
2025-06-23,7685.85,5380.1,2305.76,807.02,576.44,461.15,288.22,172.93
2025-06-24,7402.86,5182.0,2220.86,777.3,555.22,444.17,277.61,166.56
2025-06-25,7661.81,5363.27,2298.54,804.49,574.64,459.71,287.32,172.39
2025-06-26,7568.23,5297.76,2270.47,794.66,567.62,454.09,283.81,170.29
2025-06-27,7901.6,5531.12,2370.48,829.67,592.62,474.1,296.31,177.79
2025-06-28,7662.67,5363.87,2298.8,804.58,574.7,459.76,287.35,172.41
2025-06-29,7318.8,5123.16,2195.64,768.47,548.91,439.13,274.46,164.67
2025-06-30,7918.26,5542.78,2375.48,831.42,593.87,475.1,296.94,178.16
2025-07-01,7415.54,5190.88,2224.66,778.63,556.16,444.93,278.08,166.85
2025-07-02,7578.34,5304.84,2273.5,795.72,568.38,454.7,284.19,170.51
2025-07-03,7521.39,5264.97,2256.42,789.75,564.1,451.28,282.05,169.23
2025-07-04,7791.33,5453.93,2337.4,818.09,584.35,467.48,292.18,175.3
2025-07-05,7172.06,5020.44,2151.62,753.07,537.9,430.32,268.95,161.37
2025-07-06,7712.36,5398.65,2313.71,809.8,578.43,462.74,289.21,173.53
2025-07-07,8115.97,5681.18,2434.79,852.18,608.7,486.96,304.35,182.61
2025-07-08,7736.87,5415.81,2321.06,812.37,580.26,464.21,290.13,174.08
2025-07-09,7443.04,5210.13,2232.91,781.52,558.23,446.58,279.11,167.47
2025-07-10,7559.22,5291.46,2267.77,793.72,566.94,453.55,283.47,170.08
2025-07-11,7813.86,5469.7,2344.16,820.46,586.04,468.83,293.02,175.81
2025-07-12,7915.71,5541.0,2374.71,831.15,593.68,474.94,296.84,178.1
2025-07-13,8279.02,5795.31,2483.7,869.29,620.92,496.74,310.46,186.28
2025-07-14,7074.09,4951.86,2122.23,742.78,530.56,424.45,265.28,159.17
2025-07-15,7801.42,5461.0,2340.43,819.15,585.11,468.09,292.55,175.53
2025-07-16,7771.38,5439.96,2331.41,815.99,582.85,466.28,291.43,174.86
2025-07-17,7674.3,5372.01,2302.29,805.8,575.57,460.46,287.79,172.67
2025-07-18,7836.84,5485.79,2351.05,822.87,587.76,470.21,293.88,176.33
2025-07-19,7611.63,5328.14,2283.49,799.22,570.87,456.7,285.44,171.26
2025-07-20,7315.46,5120.82,2194.64,768.12,548.66,438.93,274.33,164.6
2025-07-21,7782.21,5447.55,2334.66,817.13,583.66,466.93,291.83,175.1
2025-07-22,7949.96,5564.97,2384.99,834.75,596.25,477.0,298.12,178.87
2025-07-23,7681.78,5377.25,2304.54,806.59,576.14,460.91,288.07,172.84
2025-07-24,8107.85,5675.49,2432.35,851.32,608.09,486.47,304.04,182.43
2025-07-25,7608.6,5326.02,2282.58,798.9,570.64,456.52,285.32,171.19
2025-07-26,7877.32,5514.12,2363.2,827.12,590.8,472.64,295.4,177.24
2025-07-27,7091.03,4963.72,2127.31,744.56,531.83,425.46,265.91,159.55
2025-07-28,8563.34,5994.34,2569.0,899.15,642.25,513.8,321.12,192.68
2025-07-29,7612.38,5328.67,2283.71,799.3,570.93,456.74,285.46,171.28
2025-07-30,7512.05,5258.43,2253.61,788.76,563.4,450.72,281.7,169.02
2025-07-31,7597.69,5318.38,2279.31,797.76,569.83,455.86,284.91,170.95
2025-08-01,7334.72,5134.3,2200.42,770.15,550.1,440.08,275.05,165.03
2025-08-02,7250.12,5075.08,2175.04,761.26,543.76,435.01,271.88,163.13
2025-08-03,7715.8,5401.06,2314.74,810.16,578.68,462.95,289.34,173.61
2025-08-04,7743.93,5420.75,2323.18,813.11,580.79,464.64,290.4,174.24
2025-08-05,7786.19,5450.33,2335.86,817.55,583.96,467.17,291.98,175.19
2025-08-06,7686.93,5380.85,2306.08,807.13,576.52,461.22,288.26,172.96
2025-08-07,7668.01,5367.61,2300.4,805.14,575.1,460.08,287.55,172.53
2025-08-08,7236.82,5065.77,2171.04,759.86,542.76,434.21,271.38,162.83
2025-08-09,7512.36,5258.65,2253.71,788.8,563.43,450.74,281.71,169.03
2025-08-10,7762.09,5433.46,2328.63,815.02,582.16,465.73,291.08,174.65
2025-08-11,7492.58,5244.81,2247.78,786.72,561.95,449.56,280.97,168.58
2025-08-12,7812.48,5468.74,2343.75,820.31,585.94,468.75,292.97,175.78
2025-08-13,7647.94,5353.56,2294.38,803.03,573.6,458.88,286.8,172.08
2025-08-14,7644.98,5351.48,2293.49,802.72,573.37,458.7,286.69,172.01
2025-08-15,7779.8,5445.86,2333.94,816.88,583.48,466.79,291.74,175.05
2025-08-16,7886.78,5520.75,2366.03,828.11,591.51,473.21,295.75,177.45
2025-08-17,7972.59,5580.81,2391.78,837.12,597.95,478.36,298.97,179.38
2025-08-18,8463.47,5924.43,2539.04,888.66,634.76,507.81,317.38,190.43
2025-08-19,8032.56,5622.79,2409.77,843.42,602.44,481.95,301.22,180.73
2025-08-20,7130.03,4991.02,2139.01,748.65,534.75,427.8,267.38,160.43
2025-08-21,7282.71,5097.9,2184.81,764.68,546.2,436.96,273.1,163.86
2025-08-22,7594.26,5315.98,2278.28,797.4,569.57,455.66,284.79,170.87
2025-08-23,7406.28,5184.39,2221.88,777.66,555.47,444.38,277.74,166.64
2025-08-24,7850.34,5495.24,2355.1,824.28,588.78,471.02,294.39,176.63
2025-08-25,7891.19,5523.83,2367.36,828.58,591.84,473.47,295.92,177.55
2025-08-26,7513.85,5259.69,2254.15,788.95,563.54,450.83,281.77,169.06
2025-08-27,8158.02,5710.62,2447.41,856.59,611.85,489.48,305.93,183.56
