Month,Actual_kWh,Recorded_MD_kVA,PF,Net_Billed_kWh,kVAh,Energy_Charges_INR,Demand_Charges_INR,MD_Penalty_INR,Total_Payable_INR,Blended_Rate
2025-06-01,229289.17,663.95,0.997,229289.17,229979.11,1875585.41,189225.75,0,2064811.16,9.01
2025-07-01,238524.04,627.89,0.999,238524.04,238762.8,1951126.65,178948.65,0,2130075.3,8.93
2025-08-01,237791.47,594.57,0.992,237791.47,239709.14,1945134.22,169452.45,0,2114586.67,8.89
2025-09-01,230111.43,608.45,0.999,230111.43,230341.77,1882311.5,173408.25,0,2055719.75,8.93
2025-10-01,239861.0,608.19,0.993,239861.0,241551.86,1962062.98,173334.15,0,2135397.13,8.9
2025-11-01,232981.05,628.77,0.999,232981.05,233214.26,1905784.99,179199.45,0,2084984.44,8.95
2025-12-01,239197.44,603.72,0.993,239197.44,240883.63,1956635.06,172060.2,0,2128695.2600000002,8.9
2026-01-01,240595.97,674.83,0.999,240595.97,240836.81,1968075.03,192326.55,0,2160401.58,8.98
2026-02-01,214916.22,636.56,1.0,214916.22,214916.22,1758014.68,181419.6,0,1939434.28,9.02
2026-03-01,451822.91,1025.57,0.931,451822.91,485309.25,3695911.4,292287.45,0,3988198.85,8.83
2026-04-01,439416.38,1187.18,0.94,439416.38,467464.23,3594425.99,338346.3,0,3932772.29,8.95
2026-05-01,457426.09,1099.98,0.931,457426.09,491327.7,3741745.42,313494.3,0,4055239.7199999997,8.87
