Date,Total_kWh,Raiser_Mains_kWh,Common_Area_Total_kWh,IIEMS_Lighting_kWh,IIEMS_HVAC_Vent_kWh,IIEMS_Water_STP_kWh,IIEMS_Lifts_kWh,IIEMS_Pool_Clubhouse_kWh
2025-06-01,5439.74,3807.82,1631.92,571.17,407.98,326.38,203.99,122.39
2025-06-02,5679.0,3975.3,1703.7,596.29,425.92,340.74,212.96,127.78
2025-06-03,5472.96,3831.07,1641.89,574.66,410.47,328.38,205.24,123.14
2025-06-04,6260.65,4382.45,1878.19,657.37,469.55,375.64,234.77,140.86
2025-06-05,5860.54,4102.38,1758.16,615.36,439.54,351.63,219.77,131.86
2025-06-06,5604.82,3923.37,1681.45,588.51,420.36,336.29,210.18,126.11
2025-06-07,5703.07,3992.15,1710.92,598.82,427.73,342.18,213.86,128.32
2025-06-08,4940.48,3458.34,1482.14,518.75,370.54,296.43,185.27,111.16
2025-06-09,5944.88,4161.42,1783.46,624.21,445.86,356.69,222.93,133.76
2025-06-10,5743.33,4020.33,1723.0,603.05,430.75,344.6,215.38,129.22
2025-06-11,5579.52,3905.66,1673.85,585.85,418.46,334.77,209.23,125.54
2025-06-12,5758.44,4030.91,1727.53,604.64,431.88,345.51,215.94,129.56
2025-06-13,5792.6,4054.82,1737.78,608.22,434.44,347.56,217.22,130.33
2025-06-14,5483.42,3838.39,1645.02,575.76,411.26,329.0,205.63,123.38
2025-06-15,5706.45,3994.51,1711.93,599.18,427.98,342.39,213.99,128.39
2025-06-16,5893.64,4125.55,1768.09,618.83,442.02,353.62,221.01,132.61
2025-06-17,5727.37,4009.16,1718.21,601.37,429.55,343.64,214.78,128.87
2025-06-18,5529.27,3870.49,1658.78,580.57,414.7,331.76,207.35,124.41
2025-06-19,5683.06,3978.14,1704.92,596.72,426.23,340.98,213.12,127.87
2025-06-20,5987.03,4190.92,1796.11,628.64,449.03,359.22,224.51,134.71
2025-06-21,5819.51,4073.66,1745.85,611.05,436.46,349.17,218.23,130.94
2025-06-22,5274.34,3692.04,1582.3,553.8,395.58,316.46,197.79,118.67
2025-06-23,5764.27,4034.99,1729.28,605.25,432.32,345.86,216.16,129.7
2025-06-24,5727.16,4009.01,1718.15,601.35,429.54,343.63,214.77,128.86
