Timestamp,Active_Demand_kVA,Contracted_Limit
2025-06-01 00:00:00,100.55,900
2025-06-01 00:30:00,93.76,900
2025-06-01 01:00:00,92.42,900
2025-06-01 01:30:00,94.7,900
2025-06-01 02:00:00,101.18,900
2025-06-01 02:30:00,92.48,900
2025-06-01 03:00:00,96.31,900
2025-06-01 03:30:00,95.4,900
2025-06-01 04:00:00,99.74,900
2025-06-01 04:30:00,108.72,900
2025-06-01 05:00:00,99.17,900
2025-06-01 05:30:00,109.39,900
2025-06-01 06:00:00,115.87,900
2025-06-01 06:30:00,125.07,900
2025-06-01 07:00:00,144.42,900
2025-06-01 07:30:00,177.9,900
2025-06-01 08:00:00,182.35,900
2025-06-01 08:30:00,200.08,900
2025-06-01 09:00:00,209.13,900
2025-06-01 09:30:00,222.16,900
2025-06-01 10:00:00,202.58,900
2025-06-01 10:30:00,202.16,900
2025-06-01 11:00:00,187.43,900
2025-06-01 11:30:00,156.86,900
2025-06-01 12:00:00,157.12,900
2025-06-01 12:30:00,140.94,900
2025-06-01 13:00:00,134.33,900
2025-06-01 13:30:00,119.22,900
2025-06-01 14:00:00,118.49,900
2025-06-01 14:30:00,120.58,900
2025-06-01 15:00:00,131.17,900
2025-06-01 15:30:00,151.83,900
2025-06-01 16:00:00,164.29,900
2025-06-01 16:30:00,186.12,900
2025-06-01 17:00:00,220.42,900
2025-06-01 17:30:00,235.75,900
2025-06-01 18:00:00,293.8,900
2025-06-01 18:30:00,298.79,900
2025-06-01 19:00:00,332.14,900
2025-06-01 19:30:00,320.33,900
2025-06-01 20:00:00,337.76,900
2025-06-01 20:30:00,327.14,900
2025-06-01 21:00:00,314.28,900
2025-06-01 21:30:00,281.68,900
2025-06-01 22:00:00,286.66,900
2025-06-01 22:30:00,249.26,900
2025-06-01 23:00:00,199.19,900
2025-06-01 23:30:00,185.46,900
2025-06-02 00:00:00,77.75,900
2025-06-02 00:30:00,80.17,900
2025-06-02 01:00:00,78.04,900
2025-06-02 01:30:00,82.91,900
2025-06-02 02:00:00,82.51,900
2025-06-02 02:30:00,87.69,900
2025-06-02 03:00:00,70.79,900
2025-06-02 03:30:00,86.9,900
2025-06-02 04:00:00,88.39,900
2025-06-02 04:30:00,91.36,900
2025-06-02 05:00:00,103.25,900
2025-06-02 05:30:00,123.1,900
2025-06-02 06:00:00,151.09,900
2025-06-02 06:30:00,174.0,900
2025-06-02 07:00:00,190.69,900
2025-06-02 07:30:00,222.21,900
2025-06-02 08:00:00,232.67,900
2025-06-02 08:30:00,234.65,900
2025-06-02 09:00:00,195.01,900
2025-06-02 09:30:00,184.62,900
2025-06-02 10:00:00,140.33,900
2025-06-02 10:30:00,126.29,900
2025-06-02 11:00:00,107.89,900
2025-06-02 11:30:00,92.37,900
2025-06-02 12:00:00,86.78,900
2025-06-02 12:30:00,87.19,900
2025-06-02 13:00:00,82.39,900
2025-06-02 13:30:00,89.25,900
2025-06-02 14:00:00,91.79,900
2025-06-02 14:30:00,109.83,900
2025-06-02 15:00:00,117.17,900
2025-06-02 15:30:00,123.64,900
2025-06-02 16:00:00,165.21,900
2025-06-02 16:30:00,185.8,900
2025-06-02 17:00:00,193.7,900
2025-06-02 17:30:00,219.39,900
2025-06-02 18:00:00,252.35,900
2025-06-02 18:30:00,282.84,900
2025-06-02 19:00:00,322.89,900
2025-06-02 19:30:00,336.8,900
2025-06-02 20:00:00,353.12,900
2025-06-02 20:30:00,330.21,900
2025-06-02 21:00:00,316.29,900
2025-06-02 21:30:00,299.12,900
2025-06-02 22:00:00,283.99,900
2025-06-02 22:30:00,215.04,900
2025-06-02 23:00:00,203.49,900
2025-06-02 23:30:00,188.6,900
2025-06-03 00:00:00,72.6,900
2025-06-03 00:30:00,71.29,900
2025-06-03 01:00:00,69.42,900
2025-06-03 01:30:00,75.66,900
2025-06-03 02:00:00,70.72,900
2025-06-03 02:30:00,70.92,900
2025-06-03 03:00:00,78.33,900
2025-06-03 03:30:00,70.96,900
2025-06-03 04:00:00,84.64,900
2025-06-03 04:30:00,85.56,900
2025-06-03 05:00:00,96.4,900
2025-06-03 05:30:00,115.44,900
2025-06-03 06:00:00,137.53,900
2025-06-03 06:30:00,160.29,900
2025-06-03 07:00:00,194.12,900
2025-06-03 07:30:00,204.87,900
2025-06-03 08:00:00,221.72,900
2025-06-03 08:30:00,234.3,900
2025-06-03 09:00:00,197.16,900
2025-06-03 09:30:00,163.11,900
2025-06-03 10:00:00,139.22,900
2025-06-03 10:30:00,112.17,900
2025-06-03 11:00:00,95.76,900
2025-06-03 11:30:00,85.11,900
2025-06-03 12:00:00,81.59,900
2025-06-03 12:30:00,81.07,900
2025-06-03 13:00:00,86.36,900
2025-06-03 13:30:00,83.53,900
2025-06-03 14:00:00,81.29,900
2025-06-03 14:30:00,87.83,900
2025-06-03 15:00:00,104.65,900
2025-06-03 15:30:00,126.1,900
2025-06-03 16:00:00,137.97,900
2025-06-03 16:30:00,161.31,900
2025-06-03 17:00:00,198.3,900
2025-06-03 17:30:00,218.36,900
2025-06-03 18:00:00,260.3,900
2025-06-03 18:30:00,253.22,900
2025-06-03 19:00:00,302.04,900
2025-06-03 19:30:00,281.35,900
2025-06-03 20:00:00,317.73,900
2025-06-03 20:30:00,322.68,900
2025-06-03 21:00:00,270.99,900
2025-06-03 21:30:00,242.39,900
2025-06-03 22:00:00,258.03,900
2025-06-03 22:30:00,223.56,900
2025-06-03 23:00:00,179.34,900
2025-06-03 23:30:00,164.87,900
2025-06-04 00:00:00,67.76,900
2025-06-04 00:30:00,69.02,900
2025-06-04 01:00:00,68.71,900
2025-06-04 01:30:00,65.03,900
2025-06-04 02:00:00,72.89,900
2025-06-04 02:30:00,66.26,900
2025-06-04 03:00:00,70.91,900
2025-06-04 03:30:00,74.42,900
2025-06-04 04:00:00,72.19,900
2025-06-04 04:30:00,80.54,900
2025-06-04 05:00:00,90.31,900
2025-06-04 05:30:00,118.99,900
2025-06-04 06:00:00,138.27,900
2025-06-04 06:30:00,164.47,900
2025-06-04 07:00:00,203.97,900
2025-06-04 07:30:00,205.69,900
2025-06-04 08:00:00,205.41,900
2025-06-04 08:30:00,187.58,900
2025-06-04 09:00:00,177.26,900
2025-06-04 09:30:00,159.75,900
2025-06-04 10:00:00,138.46,900
2025-06-04 10:30:00,106.13,900
2025-06-04 11:00:00,100.39,900
2025-06-04 11:30:00,76.04,900
2025-06-04 12:00:00,75.27,900
2025-06-04 12:30:00,76.15,900
2025-06-04 13:00:00,75.68,900
2025-06-04 13:30:00,79.73,900
2025-06-04 14:00:00,83.31,900
2025-06-04 14:30:00,93.24,900
2025-06-04 15:00:00,99.83,900
2025-06-04 15:30:00,113.84,900
2025-06-04 16:00:00,128.65,900
2025-06-04 16:30:00,173.8,900
2025-06-04 17:00:00,181.92,900
2025-06-04 17:30:00,215.02,900
2025-06-04 18:00:00,235.69,900
2025-06-04 18:30:00,284.51,900
2025-06-04 19:00:00,283.77,900
2025-06-04 19:30:00,302.05,900
2025-06-04 20:00:00,288.61,900
2025-06-04 20:30:00,323.34,900
2025-06-04 21:00:00,287.01,900
2025-06-04 21:30:00,287.21,900
2025-06-04 22:00:00,231.05,900
2025-06-04 22:30:00,205.79,900
2025-06-04 23:00:00,177.82,900
2025-06-04 23:30:00,154.54,900
2025-06-05 00:00:00,83.28,900
2025-06-05 00:30:00,72.33,900
2025-06-05 01:00:00,80.39,900
2025-06-05 01:30:00,77.47,900
2025-06-05 02:00:00,77.12,900
2025-06-05 02:30:00,82.85,900
2025-06-05 03:00:00,82.89,900
2025-06-05 03:30:00,86.99,900
2025-06-05 04:00:00,88.84,900
2025-06-05 04:30:00,95.34,900
2025-06-05 05:00:00,104.22,900
2025-06-05 05:30:00,120.88,900
2025-06-05 06:00:00,157.58,900
2025-06-05 06:30:00,180.99,900
2025-06-05 07:00:00,216.77,900
2025-06-05 07:30:00,233.83,900
2025-06-05 08:00:00,217.04,900
2025-06-05 08:30:00,239.54,900
2025-06-05 09:00:00,205.89,900
2025-06-05 09:30:00,191.3,900
2025-06-05 10:00:00,138.85,900
2025-06-05 10:30:00,139.0,900
2025-06-05 11:00:00,104.42,900
2025-06-05 11:30:00,97.56,900
2025-06-05 12:00:00,85.59,900
2025-06-05 12:30:00,83.88,900
2025-06-05 13:00:00,89.98,900
2025-06-05 13:30:00,89.19,900
2025-06-05 14:00:00,95.14,900
2025-06-05 14:30:00,108.94,900
2025-06-05 15:00:00,118.04,900
2025-06-05 15:30:00,136.73,900
2025-06-05 16:00:00,150.41,900
2025-06-05 16:30:00,187.43,900
2025-06-05 17:00:00,212.5,900
2025-06-05 17:30:00,248.73,900
2025-06-05 18:00:00,280.63,900
2025-06-05 18:30:00,322.15,900
2025-06-05 19:00:00,336.82,900
2025-06-05 19:30:00,323.91,900
2025-06-05 20:00:00,338.8,900
2025-06-05 20:30:00,347.75,900
2025-06-05 21:00:00,335.07,900
2025-06-05 21:30:00,284.73,900
2025-06-05 22:00:00,261.94,900
2025-06-05 22:30:00,256.81,900
2025-06-05 23:00:00,232.09,900
2025-06-05 23:30:00,166.38,900
2025-06-06 00:00:00,82.97,900
2025-06-06 00:30:00,82.11,900
2025-06-06 01:00:00,86.07,900
2025-06-06 01:30:00,83.98,900
2025-06-06 02:00:00,85.44,900
2025-06-06 02:30:00,72.92,900
2025-06-06 03:00:00,82.99,900
2025-06-06 03:30:00,80.93,900
2025-06-06 04:00:00,84.69,900
2025-06-06 04:30:00,90.16,900
2025-06-06 05:00:00,110.24,900
2025-06-06 05:30:00,131.0,900
2025-06-06 06:00:00,160.44,900
2025-06-06 06:30:00,182.62,900
2025-06-06 07:00:00,231.0,900
2025-06-06 07:30:00,226.68,900
2025-06-06 08:00:00,228.15,900
2025-06-06 08:30:00,240.36,900
2025-06-06 09:00:00,208.67,900
2025-06-06 09:30:00,191.38,900
2025-06-06 10:00:00,150.5,900
2025-06-06 10:30:00,125.32,900
2025-06-06 11:00:00,105.8,900
2025-06-06 11:30:00,93.35,900
2025-06-06 12:00:00,90.22,900
2025-06-06 12:30:00,88.85,900
2025-06-06 13:00:00,85.19,900
2025-06-06 13:30:00,86.24,900
2025-06-06 14:00:00,99.79,900
2025-06-06 14:30:00,108.29,900
2025-06-06 15:00:00,123.13,900
2025-06-06 15:30:00,128.86,900
2025-06-06 16:00:00,151.31,900
2025-06-06 16:30:00,191.99,900
2025-06-06 17:00:00,224.45,900
2025-06-06 17:30:00,242.47,900
2025-06-06 18:00:00,266.85,900
2025-06-06 18:30:00,299.11,900
2025-06-06 19:00:00,317.85,900
2025-06-06 19:30:00,363.51,900
2025-06-06 20:00:00,367.62,900
2025-06-06 20:30:00,350.98,900
2025-06-06 21:00:00,322.66,900
2025-06-06 21:30:00,296.33,900
2025-06-06 22:00:00,271.57,900
2025-06-06 22:30:00,236.53,900
2025-06-06 23:00:00,217.26,900
2025-06-06 23:30:00,191.42,900
2025-06-07 00:00:00,85.84,900
2025-06-07 00:30:00,78.92,900
2025-06-07 01:00:00,80.1,900
2025-06-07 01:30:00,80.29,900
2025-06-07 02:00:00,86.8,900
2025-06-07 02:30:00,77.12,900
2025-06-07 03:00:00,82.74,900
2025-06-07 03:30:00,79.4,900
2025-06-07 04:00:00,82.87,900
2025-06-07 04:30:00,87.94,900
2025-06-07 05:00:00,86.1,900
2025-06-07 05:30:00,88.47,900
2025-06-07 06:00:00,102.7,900
2025-06-07 06:30:00,110.03,900
2025-06-07 07:00:00,125.95,900
2025-06-07 07:30:00,141.05,900
2025-06-07 08:00:00,146.73,900
2025-06-07 08:30:00,182.59,900
2025-06-07 09:00:00,180.18,900
2025-06-07 09:30:00,193.63,900
2025-06-07 10:00:00,178.86,900
2025-06-07 10:30:00,176.4,900
2025-06-07 11:00:00,164.44,900
2025-06-07 11:30:00,146.02,900
2025-06-07 12:00:00,124.87,900
2025-06-07 12:30:00,109.72,900
2025-06-07 13:00:00,95.84,900
2025-06-07 13:30:00,92.83,900
2025-06-07 14:00:00,104.64,900
2025-06-07 14:30:00,99.09,900
2025-06-07 15:00:00,116.09,900
2025-06-07 15:30:00,129.55,900
2025-06-07 16:00:00,143.33,900
2025-06-07 16:30:00,163.24,900
2025-06-07 17:00:00,172.4,900
2025-06-07 17:30:00,193.75,900
2025-06-07 18:00:00,224.8,900
2025-06-07 18:30:00,276.05,900
2025-06-07 19:00:00,291.89,900
2025-06-07 19:30:00,285.43,900
2025-06-07 20:00:00,307.69,900
2025-06-07 20:30:00,271.58,900
2025-06-07 21:00:00,268.07,900
2025-06-07 21:30:00,275.22,900
2025-06-07 22:00:00,256.89,900
2025-06-07 22:30:00,215.78,900
2025-06-07 23:00:00,168.49,900
2025-06-07 23:30:00,170.84,900
2025-06-08 00:00:00,88.48,900
2025-06-08 00:30:00,92.92,900
2025-06-08 01:00:00,90.12,900
2025-06-08 01:30:00,94.2,900
2025-06-08 02:00:00,89.91,900
2025-06-08 02:30:00,101.99,900
2025-06-08 03:00:00,94.21,900
2025-06-08 03:30:00,84.51,900
2025-06-08 04:00:00,83.25,900
2025-06-08 04:30:00,84.62,900
2025-06-08 05:00:00,97.88,900
2025-06-08 05:30:00,104.65,900
2025-06-08 06:00:00,93.48,900
2025-06-08 06:30:00,125.98,900
2025-06-08 07:00:00,135.91,900
2025-06-08 07:30:00,163.42,900
2025-06-08 08:00:00,161.45,900
2025-06-08 08:30:00,188.87,900
2025-06-08 09:00:00,200.46,900
2025-06-08 09:30:00,194.0,900
2025-06-08 10:00:00,185.18,900
2025-06-08 10:30:00,195.0,900
2025-06-08 11:00:00,171.95,900
2025-06-08 11:30:00,154.88,900
2025-06-08 12:00:00,144.11,900
2025-06-08 12:30:00,120.99,900
2025-06-08 13:00:00,113.73,900
2025-06-08 13:30:00,109.37,900
2025-06-08 14:00:00,109.68,900
2025-06-08 14:30:00,104.34,900
2025-06-08 15:00:00,121.1,900
2025-06-08 15:30:00,142.34,900
2025-06-08 16:00:00,151.23,900
2025-06-08 16:30:00,169.78,900
2025-06-08 17:00:00,208.45,900
2025-06-08 17:30:00,225.82,900
2025-06-08 18:00:00,244.53,900
2025-06-08 18:30:00,265.01,900
2025-06-08 19:00:00,295.83,900
2025-06-08 19:30:00,299.19,900
2025-06-08 20:00:00,328.01,900
2025-06-08 20:30:00,297.66,900
2025-06-08 21:00:00,300.76,900
2025-06-08 21:30:00,282.75,900
2025-06-08 22:00:00,260.46,900
2025-06-08 22:30:00,243.36,900
2025-06-08 23:00:00,185.36,900
2025-06-08 23:30:00,179.1,900
2025-06-09 00:00:00,75.43,900
2025-06-09 00:30:00,69.18,900
2025-06-09 01:00:00,74.11,900
2025-06-09 01:30:00,71.65,900
2025-06-09 02:00:00,78.39,900
2025-06-09 02:30:00,71.41,900
2025-06-09 03:00:00,73.34,900
2025-06-09 03:30:00,74.26,900
2025-06-09 04:00:00,75.8,900
2025-06-09 04:30:00,79.13,900
2025-06-09 05:00:00,93.28,900
2025-06-09 05:30:00,115.89,900
2025-06-09 06:00:00,140.85,900
2025-06-09 06:30:00,173.2,900
2025-06-09 07:00:00,203.06,900
2025-06-09 07:30:00,216.57,900
2025-06-09 08:00:00,228.19,900
2025-06-09 08:30:00,217.89,900
2025-06-09 09:00:00,182.32,900
2025-06-09 09:30:00,169.65,900
2025-06-09 10:00:00,139.05,900
2025-06-09 10:30:00,111.99,900
2025-06-09 11:00:00,97.77,900
2025-06-09 11:30:00,88.07,900
2025-06-09 12:00:00,79.76,900
2025-06-09 12:30:00,82.3,900
2025-06-09 13:00:00,80.32,900
2025-06-09 13:30:00,85.37,900
2025-06-09 14:00:00,92.41,900
2025-06-09 14:30:00,92.99,900
2025-06-09 15:00:00,103.8,900
2025-06-09 15:30:00,128.43,900
2025-06-09 16:00:00,135.52,900
2025-06-09 16:30:00,163.85,900
2025-06-09 17:00:00,187.16,900
2025-06-09 17:30:00,210.09,900
2025-06-09 18:00:00,256.44,900
2025-06-09 18:30:00,273.11,900
2025-06-09 19:00:00,284.41,900
2025-06-09 19:30:00,326.6,900
2025-06-09 20:00:00,295.99,900
2025-06-09 20:30:00,309.85,900
2025-06-09 21:00:00,311.51,900
2025-06-09 21:30:00,289.48,900
2025-06-09 22:00:00,255.56,900
2025-06-09 22:30:00,211.32,900
2025-06-09 23:00:00,193.38,900
2025-06-09 23:30:00,167.59,900
2025-06-10 00:00:00,66.72,900
2025-06-10 00:30:00,69.51,900
2025-06-10 01:00:00,63.19,900
2025-06-10 01:30:00,62.27,900
2025-06-10 02:00:00,66.13,900
2025-06-10 02:30:00,70.92,900
2025-06-10 03:00:00,72.12,900
2025-06-10 03:30:00,66.08,900
2025-06-10 04:00:00,79.2,900
2025-06-10 04:30:00,80.36,900
2025-06-10 05:00:00,83.75,900
2025-06-10 05:30:00,108.94,900
2025-06-10 06:00:00,137.77,900
2025-06-10 06:30:00,151.46,900
2025-06-10 07:00:00,188.73,900
2025-06-10 07:30:00,212.3,900
2025-06-10 08:00:00,205.09,900
2025-06-10 08:30:00,190.64,900
2025-06-10 09:00:00,190.48,900
