Timestamp,Active_Demand_kVA,Contracted_Limit
2026-04-01 00:00:00,414.04,600
2026-04-01 00:30:00,413.62,600
2026-04-01 01:00:00,400.6,600
2026-04-01 01:30:00,400.11,600
2026-04-01 02:00:00,367.06,600
2026-04-01 02:30:00,370.06,600
2026-04-01 03:00:00,321.35,600
2026-04-01 03:30:00,329.65,600
2026-04-01 04:00:00,283.84,600
2026-04-01 04:30:00,273.13,600
2026-04-01 05:00:00,255.94,600
2026-04-01 05:30:00,239.29,600
2026-04-01 06:00:00,222.64,600
2026-04-01 06:30:00,236.67,600
2026-04-01 07:00:00,240.49,600
2026-04-01 07:30:00,248.92,600
2026-04-01 08:00:00,260.55,600
2026-04-01 08:30:00,292.53,600
2026-04-01 09:00:00,334.21,600
2026-04-01 09:30:00,312.85,600
2026-04-01 10:00:00,357.79,600
2026-04-01 10:30:00,393.18,600
2026-04-01 11:00:00,399.62,600
2026-04-01 11:30:00,398.43,600
2026-04-01 12:00:00,392.57,600
2026-04-01 12:30:00,416.77,600
2026-04-01 13:00:00,405.87,600
2026-04-01 13:30:00,417.43,600
2026-04-01 14:00:00,358.69,600
2026-04-01 14:30:00,357.32,600
2026-04-01 15:00:00,332.03,600
2026-04-01 15:30:00,337.49,600
2026-04-01 16:00:00,267.56,600
2026-04-01 16:30:00,289.91,600
2026-04-01 17:00:00,246.82,600
2026-04-01 17:30:00,254.62,600
2026-04-01 18:00:00,233.51,600
2026-04-01 18:30:00,216.29,600
2026-04-01 19:00:00,245.42,600
2026-04-01 19:30:00,254.38,600
2026-04-01 20:00:00,273.27,600
2026-04-01 20:30:00,277.53,600
2026-04-01 21:00:00,325.87,600
2026-04-01 21:30:00,299.1,600
2026-04-01 22:00:00,393.17,600
2026-04-01 22:30:00,364.28,600
2026-04-01 23:00:00,414.86,600
2026-04-01 23:30:00,407.6,600
2026-04-02 00:00:00,437.09,600
2026-04-02 00:30:00,426.33,600
2026-04-02 01:00:00,405.78,600
2026-04-02 01:30:00,397.71,600
2026-04-02 02:00:00,383.36,600
2026-04-02 02:30:00,353.36,600
2026-04-02 03:00:00,333.95,600
2026-04-02 03:30:00,316.8,600
2026-04-02 04:00:00,291.35,600
2026-04-02 04:30:00,282.16,600
2026-04-02 05:00:00,251.3,600
2026-04-02 05:30:00,247.15,600
2026-04-02 06:00:00,221.7,600
2026-04-02 06:30:00,227.96,600
2026-04-02 07:00:00,251.51,600
2026-04-02 07:30:00,247.77,600
2026-04-02 08:00:00,290.75,600
2026-04-02 08:30:00,284.2,600
2026-04-02 09:00:00,318.1,600
2026-04-02 09:30:00,319.78,600
2026-04-02 10:00:00,375.56,600
2026-04-02 10:30:00,348.41,600
2026-04-02 11:00:00,429.18,600
2026-04-02 11:30:00,414.08,600
2026-04-02 12:00:00,436.7,600
2026-04-02 12:30:00,401.23,600
2026-04-02 13:00:00,423.92,600
2026-04-02 13:30:00,436.02,600
2026-04-02 14:00:00,359.56,600
2026-04-02 14:30:00,383.06,600
2026-04-02 15:00:00,327.61,600
2026-04-02 15:30:00,312.42,600
2026-04-02 16:00:00,284.95,600
2026-04-02 16:30:00,287.82,600
2026-04-02 17:00:00,242.09,600
2026-04-02 17:30:00,255.16,600
2026-04-02 18:00:00,222.3,600
2026-04-02 18:30:00,223.51,600
2026-04-02 19:00:00,247.55,600
2026-04-02 19:30:00,246.73,600
2026-04-02 20:00:00,274.76,600
2026-04-02 20:30:00,287.62,600
2026-04-02 21:00:00,332.82,600
2026-04-02 21:30:00,336.03,600
2026-04-02 22:00:00,373.02,600
2026-04-02 22:30:00,381.17,600
2026-04-02 23:00:00,403.2,600
2026-04-02 23:30:00,433.84,600
2026-04-03 00:00:00,410.93,600
2026-04-03 00:30:00,447.8,600
2026-04-03 01:00:00,409.09,600
2026-04-03 01:30:00,391.8,600
2026-04-03 02:00:00,389.77,600
2026-04-03 02:30:00,375.81,600
2026-04-03 03:00:00,335.96,600
2026-04-03 03:30:00,339.63,600
2026-04-03 04:00:00,283.65,600
2026-04-03 04:30:00,275.81,600
2026-04-03 05:00:00,253.76,600
2026-04-03 05:30:00,246.55,600
2026-04-03 06:00:00,238.81,600
2026-04-03 06:30:00,218.88,600
2026-04-03 07:00:00,249.85,600
2026-04-03 07:30:00,241.82,600
2026-04-03 08:00:00,294.73,600
2026-04-03 08:30:00,286.05,600
2026-04-03 09:00:00,329.96,600
2026-04-03 09:30:00,332.38,600
2026-04-03 10:00:00,363.19,600
2026-04-03 10:30:00,392.63,600
2026-04-03 11:00:00,433.07,600
2026-04-03 11:30:00,413.48,600
2026-04-03 12:00:00,441.3,600
2026-04-03 12:30:00,414.01,600
2026-04-03 13:00:00,398.89,600
2026-04-03 13:30:00,409.16,600
2026-04-03 14:00:00,379.29,600
2026-04-03 14:30:00,369.97,600
2026-04-03 15:00:00,332.89,600
2026-04-03 15:30:00,330.61,600
2026-04-03 16:00:00,272.39,600
2026-04-03 16:30:00,285.17,600
2026-04-03 17:00:00,252.93,600
2026-04-03 17:30:00,247.81,600
2026-04-03 18:00:00,242.09,600
2026-04-03 18:30:00,225.45,600
2026-04-03 19:00:00,250.0,600
2026-04-03 19:30:00,237.88,600
2026-04-03 20:00:00,271.41,600
2026-04-03 20:30:00,275.49,600
2026-04-03 21:00:00,318.34,600
2026-04-03 21:30:00,322.21,600
2026-04-03 22:00:00,371.99,600
2026-04-03 22:30:00,383.8,600
2026-04-03 23:00:00,404.72,600
2026-04-03 23:30:00,389.22,600
2026-04-04 00:00:00,435.61,600
2026-04-04 00:30:00,410.62,600
2026-04-04 01:00:00,407.94,600
2026-04-04 01:30:00,414.13,600
2026-04-04 02:00:00,376.64,600
2026-04-04 02:30:00,386.69,600
2026-04-04 03:00:00,332.31,600
2026-04-04 03:30:00,319.14,600
2026-04-04 04:00:00,299.15,600
2026-04-04 04:30:00,282.44,600
2026-04-04 05:00:00,245.45,600
2026-04-04 05:30:00,253.67,600
2026-04-04 06:00:00,235.75,600
2026-04-04 06:30:00,236.8,600
2026-04-04 07:00:00,264.97,600
2026-04-04 07:30:00,244.51,600
2026-04-04 08:00:00,278.12,600
2026-04-04 08:30:00,281.78,600
2026-04-04 09:00:00,338.13,600
2026-04-04 09:30:00,312.79,600
2026-04-04 10:00:00,352.32,600
2026-04-04 10:30:00,367.81,600
2026-04-04 11:00:00,388.63,600
2026-04-04 11:30:00,403.45,600
2026-04-04 12:00:00,427.55,600
2026-04-04 12:30:00,409.94,600
2026-04-04 13:00:00,391.17,600
2026-04-04 13:30:00,409.51,600
2026-04-04 14:00:00,384.09,600
2026-04-04 14:30:00,355.36,600
2026-04-04 15:00:00,335.66,600
2026-04-04 15:30:00,335.63,600
2026-04-04 16:00:00,288.84,600
2026-04-04 16:30:00,291.06,600
2026-04-04 17:00:00,262.83,600
2026-04-04 17:30:00,243.91,600
2026-04-04 18:00:00,234.77,600
2026-04-04 18:30:00,231.08,600
2026-04-04 19:00:00,246.55,600
2026-04-04 19:30:00,257.88,600
2026-04-04 20:00:00,269.47,600
2026-04-04 20:30:00,273.55,600
2026-04-04 21:00:00,341.13,600
2026-04-04 21:30:00,337.62,600
2026-04-04 22:00:00,370.32,600
2026-04-04 22:30:00,384.0,600
2026-04-04 23:00:00,412.84,600
2026-04-04 23:30:00,427.05,600
2026-04-05 00:00:00,422.14,600
