Month,Actual_kWh,Recorded_MD_kVA,PF,Net_Billed_kWh,kVAh,Energy_Charges_INR,Demand_Charges_INR,MD_Penalty_INR,Total_Payable_INR,Blended_Rate
2025-06-01,96115.38,285.82,0.992,96115.38,96890.5,786223.81,81458.7,0,867682.51,9.03
2025-07-01,97861.82,287.69,0.992,97861.82,98651.03,800509.69,81991.65,0,882501.34,9.02
2025-08-01,98611.08,269.72,0.995,98611.08,99106.61,806638.63,76870.2,0,883508.83,8.96
2025-09-01,96205.57,260.77,0.999,96205.57,96301.87,786961.56,74319.45,0,861281.01,8.95
2025-10-01,98473.88,294.24,0.996,98473.88,98869.36,805516.34,83858.4,0,889374.74,9.03
2025-11-01,94768.7,260.35,0.995,94768.7,95244.92,775207.97,74199.75,0,849407.72,8.96
2025-12-01,98284.85,280.73,0.991,98284.85,99177.45,803970.07,80008.05,0,883978.12,8.99
2026-01-01,98753.45,249.82,1.0,98753.45,98753.45,807803.22,71198.7,0,879001.9199999999,8.9
2026-02-01,87052.67,276.19,0.993,87052.67,87666.33,712090.84,78714.15,0,790804.99,9.08
2026-03-01,156047.56,391.32,0.963,156047.56,162043.16,1276469.04,111526.2,0,1387995.24,8.89
2026-04-01,151535.03,426.42,0.964,151535.03,157194.01,1239556.55,121529.7,0,1361086.25,8.98
2026-05-01,153634.67,418.58,0.964,153634.67,159372.06,1256731.6,119295.3,0,1376026.9000000001,8.96
